TRADE_ID,PRICE,QUANTITY,BUYER_ORDER_ID,SELLER_ORDER_ID,TRADE_TIME,IS_BUYER_MARKET_MAKER,TRADE_YEAR,TRADE_MONTH,TRADE_DAY,TRADE_HOUR,TRADE_MINUTE,TRADE_SECOND
3234644320,0.7542423981393824,3.257010715565254e-05,22680784005,22680772159,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644321,0.754586958394384,3.562355470149496e-05,22680784005,22680772231,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644322,0.7549315186493573,2.4427580366739406e-05,22680784005,22680773141,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644323,0.755189938840573,3.562355470149496e-05,22680784005,22680772261,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644324,0.755276078904302,3.257010715565254e-05,22680784005,22680772192,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644325,0.7557929192867903,3.562355470149496e-05,22680784005,22680772279,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644326,0.7563097596692501,2.4427580366739406e-05,22680784005,22680772046,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644327,0.7563097596692501,3.257010715565254e-05,22680784005,22680772228,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644328,0.7563958997329792,3.562355470149496e-05,22680784005,22680772296,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644329,0.7564820397967367,2.137413282089698e-05,22680784005,22680771528,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644330,0.7564820397967367,2.137413282089698e-05,22680784005,22680771639,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644331,0.7569988801791965,3.562355470149496e-05,22680784005,22680772312,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644332,0.7573434404341697,3.257010715565254e-05,22680784005,22680772236,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644333,0.7576018606253854,3.562355470149496e-05,22680784005,22680772336,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644334,0.7576880006891429,2.4427580366739406e-05,22680784005,22680772117,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644335,0.7582048410716027,3.562355470149496e-05,22680784005,22680772344,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644336,0.7583771211990893,3.257010715565254e-05,22680784005,22680772269,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644337,0.7588078215177916,3.562355470149496e-05,22680784005,22680772359,2023-10-10 12:39:53,0,2023,10,10,12,39,53
